: 1476944547:0;sudo pacman -S nvidia-370.28-2 nvidia-utils-370.28-1
: 1476944553:0;sudo pacman -S nvidia
: 1476944813:0;sudo pacman -S nvidia
: 1476944885:0;sudo pacman -S linux-headers
: 1476953287:0;sudo pacman -S entr
: 1476953351:0;pacaur -S entr
: 1477544222:0;pacaur -S texlive python2-setuptools python2-pycparser gvim vim-runtime firefox-49
: 1477544310:0;pacaur -S texlive texlive-latexextra
: 1477544337:0;pacaur -S  ca-certificates-mozilla
: 1479043554:0;sudo pacman -S openvpn
: 1479047557:0;sudo pacman -S openconnect
: 1479047824:0;pacaur -S tmux
: 1479086943:0;sudo pacman -S traceroute
: 1479086948:0;sudo pacman -S mtr
: 1479088277:0;sudo pacman -S blackarch/proxychains-ng
: 1480056573:0;sudo pacman -S bluez bluez-utils
: 1480114381:0;sudo pacaur -S broadcom-wl
: 1480114387:0;pacaur -S broadcom-wl
: 1480124307:0;pacaur -S pommed-light
: 1480124695:0;sudo pacman -S acpi
: 1480124936:0;sudo pacman -S xorg-xbacklight
: 1482050534:0;cat ~/.zsh_history | grep "sudo pacman -S "
: 1482063327:0;cat ~/.zsh_history | grep "-S "
: 1482063330:0;cat ~/.zsh_history | grep "\-S "
: 1482063346:0;cat ~/.zsh_history | grep "\-S " > files_installed.txt
